Date/Time,CPU Usage %,Temperature C
2022-03-22 03:09:49.219631,0.7,36
2022-03-22 03:09:59.426928,0.5,35
2022-03-22 03:10:09.851109,0.5,34.5
2022-03-22 03:10:20.080213,0.9,36
2022-03-22 03:10:30.287999,0.5,35.5
2022-03-22 03:10:40.498620,0.7,36.5
2022-03-22 03:10:50.699336,0.3,35.5
2022-03-22 03:11:00.910176,0.5,36
2022-03-22 03:11:11.110193,0.5,35.5
2022-03-22 03:11:21.377759,0.5,36.5
2022-03-22 03:11:31.585796,0.4,35
2022-03-22 03:11:41.798721,0.9,36
2022-03-22 03:11:52.085701,0.3,36
2022-03-22 03:12:02.305922,0.6,36.5
2022-03-22 03:12:12.562022,0.4,35.5
2022-03-22 03:12:22.835470,0.5,36.5
2022-03-22 03:12:33.050508,0.5,35.5
2022-03-22 03:12:43.297849,1,36
2022-03-22 03:12:53.565123,0.3,36
2022-03-22 03:13:03.836488,0.6,36
2022-03-22 03:13:14.063874,0.4,36
2022-03-22 03:13:24.325278,0.5,35
2022-03-22 03:13:34.563314,0.4,35.5
2022-03-22 03:13:44.823888,0.9,35.5
2022-03-22 03:13:55.101595,0.4,36
2022-03-22 03:14:05.336280,0.5,35
2022-03-22 03:14:15.608668,0.4,35.5
2022-03-22 03:14:25.891346,0.4,36
2022-03-22 03:14:36.147101,0.4,36
2022-03-22 03:14:46.420244,0.9,35
2022-03-22 03:14:56.653330,0.4,36.5
2022-03-22 03:15:06.898526,0.6,36
2022-03-22 03:15:17.410873,0.3,35
2022-03-22 03:15:27.678562,0.4,36
2022-03-22 03:15:37.955234,0.5,35.5
2022-03-22 03:15:48.293852,0.8,34.5
2022-03-22 03:15:58.525615,0.4,36
2022-03-22 03:16:08.766281,0.5,36.5
2022-03-22 03:16:19.005267,0.3,36
2022-03-22 03:16:29.318638,0.6,36
2022-03-22 03:16:39.576959,1,35.5
2022-03-22 03:16:49.793081,0.3,36
2022-03-22 03:17:00.031194,0.5,35
2022-03-22 03:17:10.309050,0.7,36
2022-03-22 03:17:20.543122,0.4,35.5
2022-03-22 03:17:30.789341,0.4,35.5
2022-03-22 03:17:41.044441,0.8,35.5
2022-03-22 03:17:51.261190,0.5,34.5
2022-03-22 03:18:01.588862,0.5,35.5
2022-03-22 03:18:11.824588,0.4,35.5
2022-03-22 03:18:22.077369,0.4,35.5
2022-03-22 03:18:32.351858,0.4,36
2022-03-22 03:18:42.563339,0.9,35.5
2022-03-22 03:18:52.810802,0.3,36
2022-03-22 03:19:03.021073,0.7,36
2022-03-22 03:19:13.249393,0.5,35.5
2022-03-22 03:19:23.495427,0.5,35
2022-03-22 03:19:33.727209,0.5,36
2022-03-22 03:19:43.968382,0.9,35.5
2022-03-22 03:19:54.211118,0.3,36
2022-03-22 03:20:04.470552,0.6,35
2022-03-22 03:20:14.708313,0.3,36.5
2022-03-22 03:20:25.130558,0.4,36.5
2022-03-22 03:20:35.446506,0.5,36.5
2022-03-22 03:20:45.685986,0.8,35.5
2022-03-22 03:20:55.936314,0.4,36
2022-03-22 03:21:06.198108,0.6,36.5
2022-03-22 03:21:16.497703,0.3,36
2022-03-22 03:21:26.743721,0.5,36.5
2022-03-22 03:21:37.005883,0.9,34.5
2022-03-22 03:21:47.229398,0.7,36
2022-03-22 03:21:57.467368,0.4,34.5
2022-03-22 03:22:07.689681,0.5,35
2022-03-22 03:22:17.929570,0.4,36
2022-03-22 03:22:28.177006,0.5,35
2022-03-22 03:22:38.501710,0.5,36
2022-03-22 03:22:48.861293,0.7,35.5
2022-03-22 03:22:59.094396,0.4,35.5
2022-03-22 03:23:09.432388,0.5,35
2022-03-22 03:23:19.672659,0.4,35.5
2022-03-22 03:23:29.884429,0.4,35
2022-03-22 03:23:40.146486,0.8,36
2022-03-22 03:23:50.360814,0.7,35.5
2022-03-22 03:24:00.596287,0.4,34.5
2022-03-22 03:24:10.861390,0.4,36
2022-03-22 03:24:21.122293,0.5,35.5
2022-03-22 03:24:31.379796,0.4,35
2022-03-22 03:24:41.624881,0.9,34
2022-03-22 03:24:51.876900,0.3,35.5
